timestamp,algeria_region,algeria_area,portugal_X,portugal_Y,temp,humidity,wind,rain,FFMC,DMC,DC,ISI,nino34_sst,fire
7/17/2012,Bejaia,ne,,,29,70,14,0,82.8,9.4,34.1,3.2,27.2,1
7/18/2012,Bejaia,ne,,,31,68,14,0,85.4,12.1,43.1,4.6,27.4,1
7/19/2012,Bejaia,ne,,,35,59,17,0,88.1,12,52.8,7.7,27.4,1
7/20/2012,Bejaia,ne,,,33,65,15,0.1,81.4,12.3,62.1,2.8,27.4,1
7/21/2012,Bejaia,ne,,,33,70,17,0,85.4,18.5,71.5,5.2,27.4,1
7/22/2012,Bejaia,ne,,,28,79,18,0.1,73.4,16.4,79.9,1.8,27.4,0
7/23/2012,Bejaia,ne,,,27,66,22,0.4,68.2,10.5,71.3,1.8,27.4,0
7/24/2012,Bejaia,ne,,,28,78,16,0.1,70,9.6,79.7,1.4,27.4,0
7/25/2012,Bejaia,ne,,,31,65,18,0,84.3,12.5,88.7,4.8,27.6,1
7/26/2012,Bejaia,ne,,,36,53,19,0,89.2,17.1,98.6,10,27.6,1
7/27/2012,Bejaia,ne,,,36,48,13,0,90.3,22.2,108.5,8.7,27.6,1
7/28/2012,Bejaia,ne,,,33,76,15,0,86.5,24.4,117.8,5.6,27.6,1
7/29/2012,Bejaia,ne,,,32,73,15,0,86.6,26.7,127,5.6,27.6,1
7/30/2012,Bejaia,ne,,,31,79,15,0,85.4,28.5,136,4.7,27.6,1
7/31/2012,Bejaia,ne,,,35,64,17,0,87.2,31.9,145.7,6.8,27.6,1
8/1/2012,Bejaia,ne,,,36,45,14,0,78.8,4.8,10.2,2,27.6,0
8/2/2012,Bejaia,ne,,,35,55,12,0.4,78,5.8,10,1.7,27.6,0
8/3/2012,Bejaia,ne,,,35,63,14,0.3,76.6,5.7,10,1.7,27.6,0
8/4/2012,Bejaia,ne,,,34,69,13,0,85,8.2,19.8,4,27.6,1
8/5/2012,Bejaia,ne,,,34,65,13,0,86.8,11.1,29.7,5.2,27.6,1
8/6/2012,Bejaia,ne,,,32,75,14,0,86.4,13,39.1,5.2,27.6,1
8/7/2012,Bejaia,ne,,,32,69,16,0,86.5,15.5,48.6,5.5,27.6,1
8/8/2012,Bejaia,ne,,,32,60,18,0.3,77.1,11.3,47,2.2,27.7,0
8/9/2012,Bejaia,ne,,,35,59,17,0,87.4,14.8,57,6.9,27.7,1
8/10/2012,Bejaia,ne,,,35,55,14,0,88.9,18.6,67,7.4,27.7,1
8/11/2012,Bejaia,ne,,,35,63,13,0,88.9,21.7,77,7.1,27.7,1
8/12/2012,Bejaia,ne,,,35,51,13,0.3,81.3,15.6,75.1,2.5,27.7,0
8/13/2012,Bejaia,ne,,,35,63,15,0,87,19,85.1,5.9,27.7,1
8/14/2012,Bejaia,ne,,,33,66,14,0,87,21.7,94.7,5.7,27.7,1
8/15/2012,Bejaia,ne,,,36,55,13,0.3,82.4,15.6,92.5,3.7,27.3,1
8/16/2012,Bejaia,ne,,,36,61,18,0.3,80.2,11.7,90.4,2.8,27.3,1
8/17/2012,Bejaia,ne,,,37,52,18,0,89.3,16,100.7,9.7,27.3,1
8/18/2012,Bejaia,ne,,,36,54,18,0,89.4,20,110.9,9.7,27.3,1
8/19/2012,Bejaia,ne,,,35,62,19,0,89.4,23.2,120.9,9.7,27.3,1
8/20/2012,Bejaia,ne,,,35,68,19,0,88.3,25.9,130.6,8.8,27.3,1
8/21/2012,Bejaia,ne,,,36,58,19,0,88.6,29.6,141.1,9.2,27.3,1
8/22/2012,Bejaia,ne,,,36,55,18,0,89.1,33.5,151.3,9.9,27.3,1
8/23/2012,Bejaia,ne,,,36,53,16,0,89.5,37.6,161.5,10.4,27.3,1
8/24/2012,Bejaia,ne,,,34,64,14,0,88.9,40.5,171.3,9,27.3,1
8/25/2012,Bejaia,ne,,,35,60,15,0,88.9,43.9,181.3,8.2,27.3,1
8/26/2012,Bejaia,ne,,,31,78,18,0,85.8,45.6,190.6,4.7,27.3,1
8/27/2012,Bejaia,ne,,,33,82,21,0,84.9,47,200.2,4.4,27.3,1
8/28/2012,Bejaia,ne,,,34,64,16,0,89.4,50.2,210.4,7.3,27.3,1
8/29/2012,Bejaia,ne,,,35,48,18,0,90.1,54.2,220.4,12.5,28.1,1
8/30/2012,Bejaia,ne,,,35,70,17,0.8,72.7,25.2,180.4,1.7,28.1,0
8/31/2012,Bejaia,ne,,,28,80,21,16.8,52.5,8.7,8.7,0.6,28.1,0
9/1/2012,Bejaia,ne,,,25,76,17,7.2,46,1.3,7.5,0.2,28.1,0
9/2/2012,Bejaia,ne,,,22,86,15,10.1,30.5,0.7,7,0,28.1,0
9/3/2012,Bejaia,ne,,,25,78,15,3.8,42.6,1.2,7.5,0.1,28.1,0
9/4/2012,Bejaia,ne,,,29,73,17,0.1,68.4,1.9,15.7,1.4,28.1,0
9/5/2012,Bejaia,ne,,,29,75,16,0,80.8,3.4,24,2.8,27.8,1
9/6/2012,Bejaia,ne,,,29,74,19,0.1,75.8,3.6,32.2,2.1,27.8,0
9/7/2012,Bejaia,ne,,,31,71,17,0.3,69.6,3.2,30.1,1.5,27.8,0
9/8/2012,Bejaia,ne,,,30,73,17,0.9,62,2.6,8.4,1.1,27.8,0
9/9/2012,Bejaia,ne,,,30,77,15,1,56.1,2.1,8.4,0.7,27.8,0
9/10/2012,Bejaia,ne,,,33,73,12,1.8,59.9,2.2,8.9,0.7,27.8,0
9/11/2012,Bejaia,ne,,,30,77,21,1.8,58.5,1.9,8.4,1.1,27.8,0
9/12/2012,Bejaia,ne,,,29,88,13,0,71,2.6,16.6,1.2,26.9,0
9/13/2012,Bejaia,ne,,,25,86,21,4.6,40.9,1.3,7.5,0.1,26.9,0
9/14/2012,Bejaia,ne,,,22,76,26,8.3,47.4,1.1,7,0.4,26.9,0
9/15/2012,Bejaia,ne,,,24,82,15,0.4,44.9,0.9,7.3,0.2,26.9,0
9/16/2012,Bejaia,ne,,,30,65,14,0,78.1,3.2,15.7,1.9,26.9,0
9/17/2012,Bejaia,ne,,,31,52,14,0,87.7,6.4,24.3,6.2,26.9,1
9/18/2012,Bejaia,ne,,,32,49,11,0,89.4,9.8,33.1,6.8,26.9,1
9/19/2012,Bejaia,ne,,,29,57,14,0,89.3,12.5,41.3,7.8,26.7,1
9/20/2012,Bejaia,ne,,,28,84,18,0,83.8,13.5,49.3,4.5,26.7,1
9/21/2012,Bejaia,ne,,,31,55,11,0,87.8,16.5,57.9,5.4,26.7,1
9/22/2012,Bejaia,ne,,,31,50,19,0.6,77.8,10.6,41.4,2.4,26.7,0
9/23/2012,Bejaia,ne,,,32,54,11,0.5,73.7,7.9,30.4,1.2,26.7,0
9/24/2012,Bejaia,ne,,,29,65,19,0.6,68.3,5.5,15.2,1.5,26.7,0
9/25/2012,Bejaia,ne,,,26,81,21,5.8,48.6,3,7.7,0.4,26.7,0
9/26/2012,Bejaia,ne,,,31,54,11,0,82,6,16.3,2.5,27,0
9/27/2012,Bejaia,ne,,,31,66,11,0,85.7,8.3,24.9,4,27,1
9/28/2012,Bejaia,ne,,,32,47,14,0.7,77.5,7.1,8.8,1.8,27,0
9/29/2012,Bejaia,ne,,,26,80,16,1.8,47.4,2.9,7.7,0.3,27,0
9/30/2012,Bejaia,ne,,,25,78,14,1.4,45,1.9,7.5,0.2,27,0
6/1/2012,Sidi-Bel Abbes,nw,,,32,71,12,0.7,57.1,2.5,8.2,0.6,27.7,0
6/2/2012,Sidi-Bel Abbes,nw,,,30,73,13,4,55.7,2.7,7.8,0.6,27.7,0
6/3/2012,Sidi-Bel Abbes,nw,,,29,80,14,2,48.7,2.2,7.6,0.3,27.7,0
6/4/2012,Sidi-Bel Abbes,nw,,,30,64,14,0,79.4,5.2,15.4,2.2,27.7,0
6/5/2012,Sidi-Bel Abbes,nw,,,32,60,14,0.2,77.1,6,17.6,1.8,27.7,0
6/6/2012,Sidi-Bel Abbes,nw,,,35,54,11,0.1,83.7,8.4,26.3,3.1,27.7,1
6/7/2012,Sidi-Bel Abbes,nw,,,35,44,17,0.2,85.6,9.9,28.9,5.4,27.7,1
6/8/2012,Sidi-Bel Abbes,nw,,,28,51,17,1.3,71.4,7.7,7.4,1.5,27.7,0
6/9/2012,Sidi-Bel Abbes,nw,,,27,59,18,0.1,78.1,8.5,14.7,2.4,27.7,0
6/10/2012,Sidi-Bel Abbes,nw,,,30,41,15,0,89.4,13.3,22.5,8.4,27.7,1
6/11/2012,Sidi-Bel Abbes,nw,,,31,42,21,0,90.6,18.2,30.5,13.4,27.7,1
6/12/2012,Sidi-Bel Abbes,nw,,,27,58,17,0,88.9,21.3,37.8,8.7,27.7,1
6/13/2012,Sidi-Bel Abbes,nw,,,30,52,15,2,72.3,11.4,7.8,1.4,28,0
6/14/2012,Sidi-Bel Abbes,nw,,,27,79,16,0.7,53.4,6.4,7.3,0.5,28,0
6/15/2012,Sidi-Bel Abbes,nw,,,28,90,15,0,66.8,7.2,14.7,1.2,28,0
6/16/2012,Sidi-Bel Abbes,nw,,,29,87,15,0.4,47.4,4.2,8,0.2,28,0
6/17/2012,Sidi-Bel Abbes,nw,,,31,69,17,4.7,62.2,3.9,8,1.1,28,0
6/18/2012,Sidi-Bel Abbes,nw,,,33,62,10,8.7,65.5,4.6,8.3,0.9,28,0
6/19/2012,Sidi-Bel Abbes,nw,,,32,67,14,4.5,64.6,4.4,8.2,1,28,0
6/20/2012,Sidi-Bel Abbes,nw,,,31,72,14,0.2,60.2,3.8,8,0.8,28.2,0
6/21/2012,Sidi-Bel Abbes,nw,,,32,55,14,0,86.2,8.3,18.4,5,28.2,1
6/22/2012,Sidi-Bel Abbes,nw,,,33,46,14,1.1,78.3,8.1,8.3,1.9,28.2,0
6/23/2012,Sidi-Bel Abbes,nw,,,33,59,16,0.8,74.2,7,8.3,1.6,28.2,0
6/24/2012,Sidi-Bel Abbes,nw,,,35,68,16,0,85.3,10,17,4.9,28.2,1
6/25/2012,Sidi-Bel Abbes,nw,,,34,70,16,0,86,12.8,25.6,5.4,28.2,1
6/26/2012,Sidi-Bel Abbes,nw,,,36,62,16,0,87.8,16.5,34.5,7,28.2,1
6/27/2012,Sidi-Bel Abbes,nw,,,36,55,15,0,89.1,20.9,43.3,8,28,1
6/28/2012,Sidi-Bel Abbes,nw,,,37,37,13,0,92.5,27.2,52.4,11.7,28,1
6/29/2012,Sidi-Bel Abbes,nw,,,37,36,13,0.6,86.2,17.9,36.7,4.8,28,1
6/30/2012,Sidi-Bel Abbes,nw,,,34,42,15,1.7,79.7,12,8.5,2.2,28,0
7/1/2012,Sidi-Bel Abbes,nw,,,28,58,18,2.2,63.7,3.2,8.5,1.2,28,0
7/2/2012,Sidi-Bel Abbes,nw,,,33,48,16,0,87.6,7.9,17.8,6.8,28,1
7/3/2012,Sidi-Bel Abbes,nw,,,34,56,17,0.1,84.7,9.7,27.3,4.7,28,1
7/4/2012,Sidi-Bel Abbes,nw,,,34,58,18,0,88,13.6,36.8,8,27.7,1
7/5/2012,Sidi-Bel Abbes,nw,,,34,45,18,0,90.5,18.7,46.4,11.3,27.7,1
7/6/2012,Sidi-Bel Abbes,nw,,,35,42,15,0.3,84.7,15.5,45.1,4.3,27.7,1
7/7/2012,Sidi-Bel Abbes,nw,,,38,43,13,0.5,85,13,35.4,4.1,27.7,1
7/8/2012,Sidi-Bel Abbes,nw,,,35,47,18,6,80.8,9.8,9.7,3.1,27.7,1
7/9/2012,Sidi-Bel Abbes,nw,,,36,43,15,1.9,82.3,9.4,9.9,3.2,27.7,1
7/10/2012,Sidi-Bel Abbes,nw,,,34,51,16,3.8,77.5,8,9.5,2,27.7,0
7/11/2012,Sidi-Bel Abbes,nw,,,34,56,15,2.9,74.8,7.1,9.5,1.6,27.2,0
7/12/2012,Sidi-Bel Abbes,nw,,,36,44,13,0,90.1,12.6,19.4,8.3,27.2,1
7/13/2012,Sidi-Bel Abbes,nw,,,39,45,13,0.6,85.2,11.3,10.4,4.2,27.2,1
7/14/2012,Sidi-Bel Abbes,nw,,,37,37,18,0.2,88.9,12.9,14.6,9,27.2,1
7/15/2012,Sidi-Bel Abbes,nw,,,34,45,17,0,90.5,18,24.1,10.9,27.2,1
7/16/2012,Sidi-Bel Abbes,nw,,,31,83,17,0,84.5,19.4,33.1,4.7,27.2,1
7/17/2012,Sidi-Bel Abbes,nw,,,32,81,17,0,84.6,21.1,42.3,4.7,27.2,1
7/18/2012,Sidi-Bel Abbes,nw,,,33,68,15,0,86.1,23.9,51.6,5.2,27.4,1
7/19/2012,Sidi-Bel Abbes,nw,,,34,58,16,0,88.1,27.8,61.1,7.3,27.4,1
7/20/2012,Sidi-Bel Abbes,nw,,,36,50,16,0,89.9,32.7,71,9.5,27.4,1
7/21/2012,Sidi-Bel Abbes,nw,,,36,29,18,0,93.9,39.6,80.6,18.5,27.4,1
7/22/2012,Sidi-Bel Abbes,nw,,,32,48,18,0,91.5,44.2,90.1,13.2,27.4,1
7/23/2012,Sidi-Bel Abbes,nw,,,31,71,17,0,87.3,46.6,99,6.9,27.4,1
7/24/2012,Sidi-Bel Abbes,nw,,,33,63,17,1.1,72.8,20.9,56.6,1.6,27.4,0
7/25/2012,Sidi-Bel Abbes,nw,,,39,64,9,1.2,73.8,11.7,15.9,1.1,27.6,0
7/26/2012,Sidi-Bel Abbes,nw,,,35,58,10,0.2,78.3,10.8,19.7,1.6,27.6,0
7/27/2012,Sidi-Bel Abbes,nw,,,29,87,18,0,80,11.8,28.3,2.8,27.6,0
7/28/2012,Sidi-Bel Abbes,nw,,,33,57,16,0,87.5,15.7,37.6,6.7,27.6,1
7/29/2012,Sidi-Bel Abbes,nw,,,34,59,16,0,88.1,19.5,47.2,7.4,27.6,1
7/30/2012,Sidi-Bel Abbes,nw,,,36,56,16,0,88.9,23.8,57.1,8.2,27.6,1
7/31/2012,Sidi-Bel Abbes,nw,,,37,55,15,0,89.3,28.3,67.2,8.3,27.6,1
8/1/2012,Sidi-Bel Abbes,nw,,,38,52,14,0,78.3,4.4,10.5,2,27.6,0
8/2/2012,Sidi-Bel Abbes,nw,,,40,34,14,0,93.3,10.8,21.4,13.8,27.6,1
8/3/2012,Sidi-Bel Abbes,nw,,,39,33,17,0,93.7,17.1,32.1,17.2,27.6,1
8/4/2012,Sidi-Bel Abbes,nw,,,38,35,15,0,93.8,23,42.7,15.7,27.6,1
8/5/2012,Sidi-Bel Abbes,nw,,,34,42,17,0.1,88.3,23.6,52.5,19,27.6,1
8/6/2012,Sidi-Bel Abbes,nw,,,30,54,14,3.1,70.5,11,9.1,1.3,27.6,0
8/7/2012,Sidi-Bel Abbes,nw,,,34,63,13,2.9,69.7,7.2,9.8,1.2,27.6,0
8/8/2012,Sidi-Bel Abbes,nw,,,37,56,11,0,87.4,11.2,20.2,5.2,27.7,1
8/9/2012,Sidi-Bel Abbes,nw,,,39,43,12,0,91.7,16.5,30.9,9.6,27.7,1
8/10/2012,Sidi-Bel Abbes,nw,,,39,39,15,0.2,89.3,15.8,35.4,8.2,27.7,1
8/11/2012,Sidi-Bel Abbes,nw,,,40,31,15,0,94.2,22.5,46.3,16.6,27.7,1
8/12/2012,Sidi-Bel Abbes,nw,,,39,21,17,0.4,93,18.4,41.5,15.5,27.7,1
8/13/2012,Sidi-Bel Abbes,nw,,,35,34,16,0.2,88.3,16.9,45.1,7.5,27.7,1
8/14/2012,Sidi-Bel Abbes,nw,,,37,40,13,0,91.9,22.3,55.5,10.8,27.7,1
8/15/2012,Sidi-Bel Abbes,nw,,,35,46,13,0.3,83.9,16.9,54.2,3.5,27.3,1
8/16/2012,Sidi-Bel Abbes,nw,,,40,41,10,0.1,92,22.6,65.1,9.5,27.3,1
8/17/2012,Sidi-Bel Abbes,nw,,,42,24,9,0,96,30.3,76.4,15.7,27.3,1
8/18/2012,Sidi-Bel Abbes,nw,,,37,37,14,0,94.3,35.9,86.8,16,27.3,1
8/19/2012,Sidi-Bel Abbes,nw,,,35,66,15,0.1,82.7,32.7,96.8,3.3,27.3,1
8/20/2012,Sidi-Bel Abbes,nw,,,36,81,15,0,83.7,34.4,107,3.8,27.3,1
8/21/2012,Sidi-Bel Abbes,nw,,,36,71,15,0,86,36.9,117.1,5.1,27.3,1
8/22/2012,Sidi-Bel Abbes,nw,,,37,53,14,0,89.5,41.1,127.5,8,27.3,1
8/23/2012,Sidi-Bel Abbes,nw,,,36,43,16,0,91.2,46.1,137.7,11.5,27.3,1
8/24/2012,Sidi-Bel Abbes,nw,,,35,38,15,0,92.1,51.3,147.7,12.2,27.3,1
8/25/2012,Sidi-Bel Abbes,nw,,,34,40,18,0,92.1,56.3,157.5,14.3,27.3,1
8/26/2012,Sidi-Bel Abbes,nw,,,33,37,16,0,92.2,61.3,167.2,13.1,27.3,1
8/27/2012,Sidi-Bel Abbes,nw,,,36,54,14,0,91,65.9,177.3,10,27.3,1
8/28/2012,Sidi-Bel Abbes,nw,,,35,56,14,0.4,79.2,37,166,2.1,27.3,0
8/29/2012,Sidi-Bel Abbes,nw,,,35,53,17,0.5,80.2,20.7,149.2,2.7,28.1,1
8/30/2012,Sidi-Bel Abbes,nw,,,34,49,15,0,89.2,24.8,159.1,8.1,28.1,1
8/31/2012,Sidi-Bel Abbes,nw,,,30,59,19,0,89.1,27.8,168.2,9.8,28.1,1
9/1/2012,Sidi-Bel Abbes,nw,,,29,86,16,0,37.9,0.9,8.2,0.1,28.1,0
9/2/2012,Sidi-Bel Abbes,nw,,,28,67,19,0,75.4,2.9,16.3,2,28.1,0
9/3/2012,Sidi-Bel Abbes,nw,,,28,75,16,0,82.2,4.4,24.3,3.3,28.1,1
9/4/2012,Sidi-Bel Abbes,nw,,,30,66,15,0.2,73.5,4.1,26.6,1.5,28.1,0
9/5/2012,Sidi-Bel Abbes,nw,,,30,58,12,4.1,66.1,4,8.4,1,27.8,0
9/6/2012,Sidi-Bel Abbes,nw,,,34,71,14,6.5,64.5,3.3,9.1,1,27.8,0
9/7/2012,Sidi-Bel Abbes,nw,,,31,62,15,0,83.3,5.8,17.7,3.8,27.8,1
9/8/2012,Sidi-Bel Abbes,nw,,,30,88,14,0,82.5,6.6,26.1,3,27.8,1
9/9/2012,Sidi-Bel Abbes,nw,,,30,80,15,0,83.1,7.9,34.5,3.5,27.8,1
9/10/2012,Sidi-Bel Abbes,nw,,,29,74,15,1.1,59.5,4.7,8.2,0.8,27.8,0
9/11/2012,Sidi-Bel Abbes,nw,,,30,73,14,0,79.2,6.5,16.6,2.1,27.8,0
9/12/2012,Sidi-Bel Abbes,nw,,,31,72,14,0,84.2,8.3,25.2,3.8,26.9,1
9/13/2012,Sidi-Bel Abbes,nw,,,29,49,19,0,88.6,11.5,33.4,9.1,26.9,1
9/14/2012,Sidi-Bel Abbes,nw,,,28,81,15,0,84.6,12.6,41.5,4.3,26.9,1
9/15/2012,Sidi-Bel Abbes,nw,,,32,51,13,0,88.7,16,50.2,6.9,26.9,1
9/16/2012,Sidi-Bel Abbes,nw,,,33,26,13,0,93.9,21.2,59.2,14.2,26.9,1
9/17/2012,Sidi-Bel Abbes,nw,,,34,44,12,0,92.5,25.2,63.3,11.2,26.9,1
9/18/2012,Sidi-Bel Abbes,nw,,,36,33,13,0.1,90.6,25.8,77.8,9,26.9,1
9/19/2012,Sidi-Bel Abbes,nw,,,29,41,8,0.1,83.9,24.9,86,2.7,26.7,1
9/20/2012,Sidi-Bel Abbes,nw,,,34,58,13,0.2,79.5,18.7,88,2.1,26.7,0
9/21/2012,Sidi-Bel Abbes,nw,,,35,34,17,0,92.2,23.6,97.3,13.8,26.7,1
9/22/2012,Sidi-Bel Abbes,nw,,,33,64,13,0,88.9,26.1,106.3,7.1,26.7,1
9/23/2012,Sidi-Bel Abbes,nw,,,35,56,14,0,89,29.4,115.6,7.5,26.7,1
9/24/2012,Sidi-Bel Abbes,nw,,,26,49,6,2,61.3,11.9,28.1,0.6,26.7,0
9/25/2012,Sidi-Bel Abbes,nw,,,28,70,15,0,79.9,13.8,36.1,2.4,26.7,0
9/26/2012,Sidi-Bel Abbes,nw,,,30,65,14,0,85.4,16,44.5,4.5,27,1
9/27/2012,Sidi-Bel Abbes,nw,,,28,87,15,4.4,41.1,6.5,8,0.1,27,0
9/28/2012,Sidi-Bel Abbes,nw,,,27,87,29,0.5,45.9,3.5,7.9,0.4,27,0
9/29/2012,Sidi-Bel Abbes,nw,,,24,54,18,0.1,79.7,4.3,15.2,1.7,27,0
9/30/2012,Sidi-Bel Abbes,nw,,,24,64,15,0.2,67.3,3.8,16.5,1.2,27,0
3/1/2007,,,7,5,8.2,51,6.7,0,86.2,26.2,94.3,5.1,27.01290323,1
10/1/2007,,,7,4,18,33,0.9,0,90.6,35.4,669.1,6.7,25.43225806,1
10/1/2007,,,7,4,14.6,33,1.3,0,90.6,43.7,686.9,6.7,25.43225806,1
3/1/2007,,,8,6,8.3,97,4,0.2,91.7,33.3,77.5,9,27.01290323,1
3/1/2007,,,8,6,11.4,99,1.8,0,89.3,51.3,102.2,9.6,27.01290323,1
8/1/2007,,,8,6,22.2,29,5.4,0,92.3,85.3,488,14.7,26.27096774,1
8/1/2007,,,8,6,24.1,27,3.1,0,92.3,88.9,495.6,8.5,26.27096774,1
8/1/2007,,,8,6,8,86,2.2,0,91.5,145.4,608.2,10.7,26.27096774,1
9/1/2007,,,8,6,13.1,63,5.4,0,91,129.5,692.6,7,25.84666667,1
9/1/2007,,,7,5,22.8,40,4,0,92.5,88,698.6,7.1,25.84666667,1
9/1/2007,,,7,5,17.8,51,7.2,0,92.5,88,698.6,7.1,25.84666667,1
9/1/2007,,,7,5,19.3,38,4,0,92.8,73.2,713,22.6,25.84666667,1
8/1/2007,,,6,5,17,72,6.7,0,63.5,70.8,665.3,0.8,26.27096774,1
9/1/2007,,,6,5,21.3,42,2.2,0,90.9,126.5,686.5,7,25.84666667,1
9/1/2007,,,6,5,26.4,21,4.5,0,92.9,133.3,699.6,9.2,25.84666667,1
9/1/2007,,,6,5,22.9,44,5.4,0,93.3,141.2,713.9,13.9,25.84666667,1
3/1/2007,,,5,5,15.1,27,5.4,0,91.7,35.8,80.8,7.8,27.01290323,1
10/1/2007,,,8,5,16.7,47,4.9,0,84.9,32.8,664.2,3,25.43225806,1
3/1/2007,,,6,4,15.9,35,4,0,89.2,27.9,70.8,6.3,27.01290323,1
4/1/2007,,,6,4,9.3,44,4.5,0,86.3,27.4,97.1,5.1,27.63,1
9/1/2007,,,6,4,18.3,40,2.7,0,91,129.5,692.6,7,25.84666667,1
9/1/2007,,,5,4,19.1,38,2.7,0,91.8,78.5,724.3,9.2,25.84666667,1
6/1/2007,,,7,4,21,44,4.5,0,94.3,96.3,200,56.1,27.53666667,1
8/1/2007,,,7,4,19.5,43,5.8,0,90.2,110.9,537.4,6.2,26.27096774,1
8/1/2007,,,7,4,23.7,32,5.8,0,93.5,139.4,594.2,20.3,26.27096774,1
8/1/2007,,,7,4,16.3,60,5.4,0,91.4,142.4,601.4,10.6,26.27096774,1
9/1/2007,,,7,4,19,34,5.8,0,92.4,117.9,668,12.2,25.84666667,1
9/1/2007,,,7,4,19.4,48,1.3,0,90.9,126.5,686.5,7,25.84666667,1
9/1/2007,,,6,3,30.2,24,2.7,0,93.4,145.4,721.4,8.1,25.84666667,1
