timestamp,temp,humidity,wind,rain,FFMC,DMC,DC,ISI,nino34_sst,fire
2012-09-07,31.0,71,17.0,0.3,69.6,3.2,30.1,1.5,27.8,0
2012-09-08,30.0,73,17.0,0.9,62.0,2.6,8.4,1.1,27.8,0
2012-09-09,30.0,77,15.0,1.0,56.1,2.1,8.4,0.7,27.8,0
2012-09-10,33.0,73,12.0,1.8,59.9,2.2,8.9,0.7,27.8,0
2012-09-11,30.0,77,21.0,1.8,58.5,1.9,8.4,1.1,27.8,0
2012-09-12,29.0,88,13.0,0.0,71.0,2.6,16.6,1.2,26.9,0
2012-09-13,25.0,86,21.0,4.6,40.9,1.3,7.5,0.1,26.9,0
2012-09-14,22.0,76,26.0,8.3,47.4,1.1,7.0,0.4,26.9,0
2012-09-15,24.0,82,15.0,0.4,44.9,0.9,7.3,0.2,26.9,0
2012-09-16,30.0,65,14.0,0.0,78.1,3.2,15.7,1.9,26.9,0
2012-09-17,31.0,52,14.0,0.0,87.7,6.4,24.3,6.2,26.9,1
2012-09-18,32.0,49,11.0,0.0,89.4,9.8,33.1,6.8,26.9,1
2012-09-19,29.0,57,14.0,0.0,89.3,12.5,41.3,7.8,26.7,1
2012-09-20,28.0,84,18.0,0.0,83.8,13.5,49.3,4.5,26.7,1
2012-09-21,31.0,55,11.0,0.0,87.8,16.5,57.9,5.4,26.7,1
2012-09-22,31.0,50,19.0,0.6,77.8,10.6,41.4,2.4,26.7,0
2012-09-23,32.0,54,11.0,0.5,73.7,7.9,30.4,1.2,26.7,0
2012-09-24,29.0,65,19.0,0.6,68.3,5.5,15.2,1.5,26.7,0
2012-09-25,26.0,81,21.0,5.8,48.6,3.0,7.7,0.4,26.7,0
2012-09-26,31.0,54,11.0,0.0,82.0,6.0,16.3,2.5,27.0,0
2012-09-27,31.0,66,11.0,0.0,85.7,8.3,24.9,4.0,27.0,1
2012-09-28,32.0,47,14.0,0.7,77.5,7.1,8.8,1.8,27.0,0
2012-09-29,26.0,80,16.0,1.8,47.4,2.9,7.7,0.3,27.0,0
2012-09-30,25.0,78,14.0,1.4,45.0,1.9,7.5,0.2,27.0,0
2012-06-01,32.0,71,12.0,0.7,57.1,2.5,8.2,0.6,27.7,0
2012-06-02,30.0,73,13.0,4.0,55.7,2.7,7.8,0.6,27.7,0
2012-06-03,29.0,80,14.0,2.0,48.7,2.2,7.6,0.3,27.7,0
2012-06-04,30.0,64,14.0,0.0,79.4,5.2,15.4,2.2,27.7,0
2012-06-05,32.0,60,14.0,0.2,77.1,6.0,17.6,1.8,27.7,0
2012-06-06,35.0,54,11.0,0.1,83.7,8.4,26.3,3.1,27.7,1
2012-06-07,35.0,44,17.0,0.2,85.6,9.9,28.9,5.4,27.7,1
2012-06-08,28.0,51,17.0,1.3,71.4,7.7,7.4,1.5,27.7,0
2012-06-09,27.0,59,18.0,0.1,78.1,8.5,14.7,2.4,27.7,0
2012-06-10,30.0,41,15.0,0.0,89.4,13.3,22.5,8.4,27.7,1
2012-06-11,31.0,42,21.0,0.0,90.6,18.2,30.5,13.4,27.7,1
2012-06-12,27.0,58,17.0,0.0,88.9,21.3,37.8,8.7,27.7,1
2012-06-13,30.0,52,15.0,2.0,72.3,11.4,7.8,1.4,28.0,0
2012-06-14,27.0,79,16.0,0.7,53.4,6.4,7.3,0.5,28.0,0
2012-06-15,28.0,90,15.0,0.0,66.8,7.2,14.7,1.2,28.0,0
2012-06-16,29.0,87,15.0,0.4,47.4,4.2,8.0,0.2,28.0,0
2012-06-17,31.0,69,17.0,4.7,62.2,3.9,8.0,1.1,28.0,0
2012-06-18,33.0,62,10.0,8.7,65.5,4.6,8.3,0.9,28.0,0
2012-06-19,32.0,67,14.0,4.5,64.6,4.4,8.2,1.0,28.0,0
2012-06-20,31.0,72,14.0,0.2,60.2,3.8,8.0,0.8,28.2,0
2012-06-21,32.0,55,14.0,0.0,86.2,8.3,18.4,5.0,28.2,1
2012-06-22,33.0,46,14.0,1.1,78.3,8.1,8.3,1.9,28.2,0
2012-06-23,33.0,59,16.0,0.8,74.2,7.0,8.3,1.6,28.2,0
2012-06-24,35.0,68,16.0,0.0,85.3,10.0,17.0,4.9,28.2,1
2012-06-25,34.0,70,16.0,0.0,86.0,12.8,25.6,5.4,28.2,1
2012-06-26,36.0,62,16.0,0.0,87.8,16.5,34.5,7.0,28.2,1
2012-06-27,36.0,55,15.0,0.0,89.1,20.9,43.3,8.0,28.0,1
2012-06-28,37.0,37,13.0,0.0,92.5,27.2,52.4,11.7,28.0,1
2012-06-29,37.0,36,13.0,0.6,86.2,17.9,36.7,4.8,28.0,1
2012-06-30,34.0,42,15.0,1.7,79.7,12.0,8.5,2.2,28.0,0
2012-07-01,28.0,58,18.0,2.2,63.7,3.2,8.5,1.2,28.0,0
2012-07-02,33.0,48,16.0,0.0,87.6,7.9,17.8,6.8,28.0,1
2012-07-03,34.0,56,17.0,0.1,84.7,9.7,27.3,4.7,28.0,1
2012-07-04,34.0,58,18.0,0.0,88.0,13.6,36.8,8.0,27.7,1
2012-07-05,34.0,45,18.0,0.0,90.5,18.7,46.4,11.3,27.7,1
2012-07-06,35.0,42,15.0,0.3,84.7,15.5,45.1,4.3,27.7,1
2012-07-07,38.0,43,13.0,0.5,85.0,13.0,35.4,4.1,27.7,1
2012-07-08,35.0,47,18.0,6.0,80.8,9.8,9.7,3.1,27.7,1
2012-07-09,36.0,43,15.0,1.9,82.3,9.4,9.9,3.2,27.7,1
2012-07-10,34.0,51,16.0,3.8,77.5,8.0,9.5,2.0,27.7,0
2012-07-11,34.0,56,15.0,2.9,74.8,7.1,9.5,1.6,27.2,0
2012-07-12,36.0,44,13.0,0.0,90.1,12.6,19.4,8.3,27.2,1
2012-07-13,39.0,45,13.0,0.6,85.2,11.3,10.4,4.2,27.2,1
2012-07-14,37.0,37,18.0,0.2,88.9,12.9,14.6,9.0,27.2,1
2012-07-15,34.0,45,17.0,0.0,90.5,18.0,24.1,10.9,27.2,1
2012-07-16,31.0,83,17.0,0.0,84.5,19.4,33.1,4.7,27.2,1
2012-07-17,32.0,81,17.0,0.0,84.6,21.1,42.3,4.7,27.2,1
2012-07-18,33.0,68,15.0,0.0,86.1,23.9,51.6,5.2,27.4,1
2012-07-19,34.0,58,16.0,0.0,88.1,27.8,61.1,7.3,27.4,1
2012-07-20,36.0,50,16.0,0.0,89.9,32.7,71.0,9.5,27.4,1
2012-07-21,36.0,29,18.0,0.0,93.9,39.6,80.6,18.5,27.4,1
2012-07-22,32.0,48,18.0,0.0,91.5,44.2,90.1,13.2,27.4,1
2012-07-23,31.0,71,17.0,0.0,87.3,46.6,99.0,6.9,27.4,1
2012-07-24,33.0,63,17.0,1.1,72.8,20.9,56.6,1.6,27.4,0
2012-07-25,39.0,64,9.0,1.2,73.8,11.7,15.9,1.1,27.6,0
2012-07-26,35.0,58,10.0,0.2,78.3,10.8,19.7,1.6,27.6,0
2012-07-27,29.0,87,18.0,0.0,80.0,11.8,28.3,2.8,27.6,0
2012-07-28,33.0,57,16.0,0.0,87.5,15.7,37.6,6.7,27.6,1
2012-07-29,34.0,59,16.0,0.0,88.1,19.5,47.2,7.4,27.6,1
2012-07-30,36.0,56,16.0,0.0,88.9,23.8,57.1,8.2,27.6,1
2012-07-31,37.0,55,15.0,0.0,89.3,28.3,67.2,8.3,27.6,1
2012-08-01,38.0,52,14.0,0.0,78.3,4.4,10.5,2.0,27.6,0
2012-08-02,40.0,34,14.0,0.0,93.3,10.8,21.4,13.8,27.6,1
2012-08-03,39.0,33,17.0,0.0,93.7,17.1,32.1,17.2,27.6,1
2012-08-04,38.0,35,15.0,0.0,93.8,23.0,42.7,15.7,27.6,1
2012-08-05,34.0,42,17.0,0.1,88.3,23.6,52.5,19.0,27.6,1
2012-08-06,30.0,54,14.0,3.1,70.5,11.0,9.1,1.3,27.6,0
2012-08-07,34.0,63,13.0,2.9,69.7,7.2,9.8,1.2,27.6,0
2012-08-08,37.0,56,11.0,0.0,87.4,11.2,20.2,5.2,27.7,1
2012-08-09,39.0,43,12.0,0.0,91.7,16.5,30.9,9.6,27.7,1
2012-08-10,39.0,39,15.0,0.2,89.3,15.8,35.4,8.2,27.7,1
2012-08-11,40.0,31,15.0,0.0,94.2,22.5,46.3,16.6,27.7,1
2012-08-12,39.0,21,17.0,0.4,93.0,18.4,41.5,15.5,27.7,1
2012-08-13,35.0,34,16.0,0.2,88.3,16.9,45.1,7.5,27.7,1
2012-08-14,37.0,40,13.0,0.0,91.9,22.3,55.5,10.8,27.7,1
2012-08-15,35.0,46,13.0,0.3,83.9,16.9,54.2,3.5,27.3,1
2012-08-16,40.0,41,10.0,0.1,92.0,22.6,65.1,9.5,27.3,1
2012-08-17,42.0,24,9.0,0.0,96.0,30.3,76.4,15.7,27.3,1
2012-08-18,37.0,37,14.0,0.0,94.3,35.9,86.8,16.0,27.3,1
2012-08-19,35.0,66,15.0,0.1,82.7,32.7,96.8,3.3,27.3,1
2012-08-20,36.0,81,15.0,0.0,83.7,34.4,107.0,3.8,27.3,1
2012-08-21,36.0,71,15.0,0.0,86.0,36.9,117.1,5.1,27.3,1
2012-08-22,37.0,53,14.0,0.0,89.5,41.1,127.5,8.0,27.3,1
2012-08-23,36.0,43,16.0,0.0,91.2,46.1,137.7,11.5,27.3,1
2012-08-24,35.0,38,15.0,0.0,92.1,51.3,147.7,12.2,27.3,1
2012-08-25,34.0,40,18.0,0.0,92.1,56.3,157.5,14.3,27.3,1
2012-08-26,33.0,37,16.0,0.0,92.2,61.3,167.2,13.1,27.3,1
2012-08-27,36.0,54,14.0,0.0,91.0,65.9,177.3,10.0,27.3,1
2012-08-28,35.0,56,14.0,0.4,79.2,37.0,166.0,2.1,27.3,0
2012-08-29,35.0,53,17.0,0.5,80.2,20.7,149.2,2.7,28.1,1
2012-08-30,34.0,49,15.0,0.0,89.2,24.8,159.1,8.1,28.1,1
2012-08-31,30.0,59,19.0,0.0,89.1,27.8,168.2,9.8,28.1,1
2012-09-01,29.0,86,16.0,0.0,37.9,0.9,8.2,0.1,28.1,0
2012-09-02,28.0,67,19.0,0.0,75.4,2.9,16.3,2.0,28.1,0
2012-09-03,28.0,75,16.0,0.0,82.2,4.4,24.3,3.3,28.1,1
2012-09-04,30.0,66,15.0,0.2,73.5,4.1,26.6,1.5,28.1,0
2012-09-05,30.0,58,12.0,4.1,66.1,4.0,8.4,1.0,27.8,0
2012-09-06,34.0,71,14.0,6.5,64.5,3.3,9.1,1.0,27.8,0
2012-09-07,31.0,62,15.0,0.0,83.3,5.8,17.7,3.8,27.8,1
2012-09-08,30.0,88,14.0,0.0,82.5,6.6,26.1,3.0,27.8,1
2012-09-09,30.0,80,15.0,0.0,83.1,7.9,34.5,3.5,27.8,1
2012-09-10,29.0,74,15.0,1.1,59.5,4.7,8.2,0.8,27.8,0
2012-09-11,30.0,73,14.0,0.0,79.2,6.5,16.6,2.1,27.8,0
2012-09-12,31.0,72,14.0,0.0,84.2,8.3,25.2,3.8,26.9,1
2012-09-13,29.0,49,19.0,0.0,88.6,11.5,33.4,9.1,26.9,1
2012-09-14,28.0,81,15.0,0.0,84.6,12.6,41.5,4.3,26.9,1
2012-09-15,32.0,51,13.0,0.0,88.7,16.0,50.2,6.9,26.9,1
2012-09-16,33.0,26,13.0,0.0,93.9,21.2,59.2,14.2,26.9,1
2012-09-17,34.0,44,12.0,0.0,92.5,25.2,63.3,11.2,26.9,1
2012-09-18,36.0,33,13.0,0.1,90.6,25.8,77.8,9.0,26.9,1
2012-09-19,29.0,41,8.0,0.1,83.9,24.9,86.0,2.7,26.7,1
2012-09-20,34.0,58,13.0,0.2,79.5,18.7,88.0,2.1,26.7,0
2012-09-21,35.0,34,17.0,0.0,92.2,23.6,97.3,13.8,26.7,1
2012-09-22,33.0,64,13.0,0.0,88.9,26.1,106.3,7.1,26.7,1
2012-09-23,35.0,56,14.0,0.0,89.0,29.4,115.6,7.5,26.7,1
2012-09-24,26.0,49,6.0,2.0,61.3,11.9,28.1,0.6,26.7,0
2012-09-25,28.0,70,15.0,0.0,79.9,13.8,36.1,2.4,26.7,0
2012-09-26,30.0,65,14.0,0.0,85.4,16.0,44.5,4.5,27.0,1
2012-09-27,28.0,87,15.0,4.4,41.1,6.5,8.0,0.1,27.0,0
2012-09-28,27.0,87,29.0,0.5,45.9,3.5,7.9,0.4,27.0,0
2012-09-29,24.0,54,18.0,0.1,79.7,4.3,15.2,1.7,27.0,0
2012-09-30,24.0,64,15.0,0.2,67.3,3.8,16.5,1.2,27.0,0
2007-03-01,8.2,51,6.7,0.0,86.2,26.2,94.3,5.1,27.01290322580645,1
2007-10-01,18.0,33,0.9,0.0,90.6,35.4,669.1,6.7,25.432258064516127,1
2007-10-01,14.6,33,1.3,0.0,90.6,43.7,686.9,6.7,25.432258064516127,1
2007-03-01,8.3,97,4.0,0.2,91.7,33.3,77.5,9.0,27.01290322580645,1
2007-03-01,11.4,99,1.8,0.0,89.3,51.3,102.2,9.6,27.01290322580645,1
2007-08-01,22.2,29,5.4,0.0,92.3,85.3,488.0,14.7,26.270967741935483,1
2007-08-01,24.1,27,3.1,0.0,92.3,88.9,495.6,8.5,26.270967741935483,1
2007-08-01,8.0,86,2.2,0.0,91.5,145.4,608.2,10.7,26.270967741935483,1
2007-09-01,13.1,63,5.4,0.0,91.0,129.5,692.6,7.0,25.846666666666668,1
2007-09-01,22.8,40,4.0,0.0,92.5,88.0,698.6,7.1,25.846666666666668,1
2007-09-01,17.8,51,7.2,0.0,92.5,88.0,698.6,7.1,25.846666666666668,1
2007-09-01,19.3,38,4.0,0.0,92.8,73.2,713.0,22.6,25.846666666666668,1
2007-08-01,17.0,72,6.7,0.0,63.5,70.8,665.3,0.8,26.270967741935483,1
2007-09-01,21.3,42,2.2,0.0,90.9,126.5,686.5,7.0,25.846666666666668,1
2007-09-01,26.4,21,4.5,0.0,92.9,133.3,699.6,9.2,25.846666666666668,1
2007-09-01,22.9,44,5.4,0.0,93.3,141.2,713.9,13.9,25.846666666666668,1
2007-03-01,15.1,27,5.4,0.0,91.7,35.8,80.8,7.8,27.01290322580645,1
2007-10-01,16.7,47,4.9,0.0,84.9,32.8,664.2,3.0,25.432258064516127,1
2007-03-01,15.9,35,4.0,0.0,89.2,27.9,70.8,6.3,27.01290322580645,1
2007-04-01,9.3,44,4.5,0.0,86.3,27.4,97.1,5.1,27.63,1
2007-09-01,18.3,40,2.7,0.0,91.0,129.5,692.6,7.0,25.846666666666668,1
2007-09-01,19.1,38,2.7,0.0,91.8,78.5,724.3,9.2,25.846666666666668,1
2007-06-01,21.0,44,4.5,0.0,94.3,96.3,200.0,56.1,27.53666666666667,1
2007-08-01,19.5,43,5.8,0.0,90.2,110.9,537.4,6.2,26.270967741935483,1
2007-08-01,23.7,32,5.8,0.0,93.5,139.4,594.2,20.3,26.270967741935483,1
2007-08-01,16.3,60,5.4,0.0,91.4,142.4,601.4,10.6,26.270967741935483,1
2007-09-01,19.0,34,5.8,0.0,92.4,117.9,668.0,12.2,25.846666666666668,1
2007-09-01,19.4,48,1.3,0.0,90.9,126.5,686.5,7.0,25.846666666666668,1
2007-09-01,30.2,24,2.7,0.0,93.4,145.4,721.4,8.1,25.846666666666668,1
2007-09-01,22.8,39,3.6,0.0,93.5,149.3,728.6,8.1,25.846666666666668,1
2007-09-01,25.4,24,3.6,0.0,94.3,85.1,692.3,15.9,25.846666666666668,1
2007-09-01,11.2,78,7.6,0.0,88.6,91.8,709.9,7.1,25.846666666666668,1
2007-09-01,20.6,37,1.8,0.0,88.6,69.7,706.8,5.8,25.846666666666668,1
2007-09-01,17.7,39,3.6,0.0,91.7,75.6,718.3,7.8,25.846666666666668,1
2007-09-01,21.2,32,2.7,0.0,91.8,78.5,724.3,9.2,25.846666666666668,1
2007-09-01,18.2,62,4.5,0.0,90.3,80.7,730.2,6.3,25.846666666666668,1
2007-10-01,21.7,24,4.5,0.0,90.6,35.4,669.1,6.7,25.432258064516127,1
2007-10-01,11.3,60,5.4,0.0,90.0,41.5,682.6,8.7,25.432258064516127,1
2007-10-01,17.8,27,4.0,0.0,90.6,43.7,686.9,6.7,25.432258064516127,1
2007-03-01,14.1,43,2.7,0.0,88.1,25.7,67.6,3.8,27.01290322580645,1
2007-07-01,23.3,37,3.1,0.0,79.5,60.6,366.7,1.5,26.916129032258063,1
2007-08-01,18.4,42,6.7,0.0,90.2,96.9,624.2,8.9,26.270967741935483,1
2007-08-01,16.6,54,5.4,0.0,94.8,108.3,647.1,17.0,26.270967741935483,1
2007-09-01,19.6,48,2.7,0.0,92.5,88.0,698.6,7.1,25.846666666666668,1
2007-09-01,12.9,74,4.9,0.0,90.1,82.9,735.7,6.2,25.846666666666668,1
2007-09-01,25.9,24,4.0,0.0,94.3,85.1,692.3,15.9,25.846666666666668,1
2007-09-01,14.7,70,3.6,0.0,90.9,126.5,686.5,7.0,25.846666666666668,1
2007-07-01,23.0,36,3.1,0.0,94.2,62.3,442.9,11.0,26.916129032258063,1
2007-03-01,11.8,35,1.8,0.0,87.2,23.9,64.7,4.1,27.01290322580645,1
2007-03-01,11.0,46,5.8,0.0,87.6,52.2,103.8,5.0,27.01290322580645,1
2007-09-01,20.8,17,1.3,0.0,92.9,137.0,706.4,9.2,25.846666666666668,1
2007-08-01,21.5,34,2.2,0.0,90.2,99.6,631.2,6.3,26.270967741935483,1
2007-08-01,20.4,42,4.9,0.0,92.1,111.2,654.1,9.6,26.270967741935483,1
2007-08-01,20.4,42,4.9,0.0,92.1,111.2,654.1,9.6,26.270967741935483,1
2007-08-01,17.6,45,3.6,0.0,91.7,114.3,661.3,6.3,26.270967741935483,1
2007-09-01,27.7,24,2.2,0.0,92.9,137.0,706.4,9.2,25.846666666666668,1
2007-09-01,17.8,63,4.9,0.0,90.3,80.7,730.2,6.3,25.846666666666668,1
2007-10-01,13.8,50,2.7,0.0,92.6,46.5,691.8,8.8,25.432258064516127,1
2007-02-01,13.9,40,5.4,0.0,84.0,9.3,34.0,2.1,26.789285714285715,1
2007-02-01,12.3,51,0.9,0.0,86.6,13.2,43.0,5.3,26.789285714285715,1
2007-03-01,11.5,39,5.8,0.0,89.3,51.3,102.2,9.6,27.01290322580645,1
2007-03-01,5.5,59,6.3,0.0,89.3,51.3,102.2,9.6,27.01290322580645,1
2007-08-01,18.8,35,4.9,0.0,93.0,75.3,466.6,7.7,26.270967741935483,1
2007-08-01,20.8,33,2.7,0.0,90.2,99.6,631.2,6.3,26.270967741935483,1
2007-08-01,23.1,31,3.1,0.0,91.1,103.2,638.8,5.8,26.270967741935483,1
2007-08-01,18.6,44,4.5,0.0,91.7,114.3,661.3,6.3,26.270967741935483,1
2007-09-01,23.0,37,4.5,0.0,92.4,117.9,668.0,12.2,25.846666666666668,1
2007-09-01,19.6,33,5.4,0.0,92.4,117.9,668.0,12.2,25.846666666666668,1
2007-09-01,19.6,33,6.3,0.0,92.4,117.9,668.0,12.2,25.846666666666668,1
2007-03-01,17.2,26,4.5,0.0,91.7,33.3,77.5,9.0,27.01290322580645,1
2007-03-01,15.8,27,7.6,0.0,91.2,48.3,97.8,12.5,27.01290322580645,1
2007-09-01,17.7,37,3.6,0.0,94.3,85.1,692.3,15.9,25.846666666666668,1
